,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea,Prisökning
0,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-sofo-stockholms-kommun-kocksgatan-22-a,-3-tr-og-1123531",2019-12-21,sodermalm,102500.0,3495000.0,1.0,40.0,1160.0,9500.0,1889.0,4100000,,0.17310443490701002
2500,https://www.hemnet.se/salda/lagenhet-1rum-fredhall-kungsholmen-stockholms-kommun-stagneliusvagen-28-1123485,2019-12-21,kungsholmen,107955.0,1995000.0,1.0,22.0,1581.0,2800.0,1937.0,2375000,,0.19047619047619047
12069,https://www.hemnet.se/salda/lagenhet-2rum-birkastan-stockholms-kommun-rorstrandsgatan-2a-1123092,2019-12-20,vasastan,108500.0,4495000.0,2.0,50.0,550.0,3600.0,1912.0,5425000,,0.20689655172413793
2502,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-41,-1-tr-1123154",2019-12-20,kungsholmen,103704.0,2800000.0,1.0,27.0,790.0,4164.0,1937.0,2800000,,0.0
5870,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-stralgatan-29,-2tr-1123122",2019-12-20,lilla_essingen,62202.0,4995000.0,3.0,84.0,3689.0,5500.0,1939.0,5225000,,0.04604604604604605
7069,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-starrangsringen-32,-1-tr-1123277",2019-12-20,gardet,89265.0,5495000.0,3.0,68.0,2536.0,,1991.0,6070000,,0.10464058234758872
7070,"https://www.hemnet.se/salda/lagenhet-2,5rum-gardet-stockholms-kommun-rindogatan-26,-6-tr-1123243",2019-12-20,gardet,119265.0,7995000.0,2.5,68.0,3003.0,14800.0,1938.0,8110000,54.0,0.014383989993746092
1,https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-asogatan-128-1123393,2019-12-20,sodermalm,94643.0,5300000.0,2.0,56.0,2442.0,10444.0,1904.0,5300000,,0.0
9568,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-floragatan-14-1123270,2019-12-20,ostermalm,102907.0,8750000.0,3.0,86.0,2930.0,,1888.0,8850000,,0.011428571428571429
12068,https://www.hemnet.se/salda/lagenhet-4rum-hagastaden-stockholms-kommun-nina-einhorns-gata-6-1123105,2019-12-20,vasastan,77216.0,6795000.0,4.0,88.0,4875.0,6860.0,2017.0,6795000,,0.0
