,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
0,2019-10-10,,101724,2695000,1.0,29.0,1328.0,0.0,1905.0,2950000.0
1,2019-10-10,Vasastan - Röda Bergen/Torsplan,75000,5250000,3.0,70.0,3556.0,0.0,1928.0,5250000.0
2,2019-10-10,Vasastan,128947,1995000,1.0,19.0,900.0,0.0,1906.0,2450000.0
3,2019-10-10,ödermalm,85342,6450000,3.0,80.5,2538.0,0.0,1969.0,6870000.0
4,2019-10-10,Östermalm,97170,4995000,2.5,53.0,2559.0,0.0,1943.0,5150000.0
5,2019-10-10,Kungsholmen/Hornsbergs strand,80337,6600000,3.0,89.0,5004.0,0.0,2013.0,7150000.0
6,2019-10-10,"Andel i bostadsförening -

    Vasastan",98837,3775000,1.5,43.0,2240.0,0.0,1901.0,4250000.0
7,2019-10-10,Atlas Vasastan,84951,7775000,4.0,103.0,3822.0,0.0,1929.0,8750000.0
8,2019-10-10,,80247,5995000,3.0,81.0,2240.0,0.0,1963.0,6500000.0
9,2019-10-10,Östermalm,110526,3795000,1.5,38.0,1787.0,0.0,4800.0,4200000.0
10,2019-10-10,Kungsholmen,87955,3250000,2.0,44.0,1636.0,0.0,1933.0,3870000.0
11,2019-10-10,ödermalm - Tanto,79167,2850000,1.5,36.0,1435.0,0.0,5300.0,2850000.0
12,2019-10-10,"Andel i bostadsförening -

    Östermalm",123696,13900000,4.0,115.0,4847.0,0.0,1897.0,14225000.0
13,,Kungsholmen,87353,3100000,1.5,34.0,1433.0,0.0,6684.0,2970000.0
14,2019-10-10,,101724,2695000,1.0,29.0,1328.0,0.0,1905.0,2950000.0
15,2019-10-10,Vasastan - Röda Bergen/Torsplan,75000,5250000,3.0,70.0,3556.0,0.0,1928.0,5250000.0
16,2019-10-10,Vasastan,128947,1995000,1.0,19.0,900.0,0.0,1906.0,2450000.0
17,2019-10-10,ödermalm,85342,6450000,3.0,80.5,2538.0,0.0,1969.0,6870000.0
18,2019-10-10,Östermalm,97170,4995000,2.5,53.0,2559.0,0.0,1943.0,5150000.0
19,2019-10-10,Kungsholmen/Hornsbergs strand,80337,6600000,3.0,89.0,5004.0,0.0,2013.0,7150000.0
20,2019-10-10,"Andel i bostadsförening -

    Vasastan",98837,3775000,1.5,43.0,2240.0,0.0,1901.0,4250000.0
21,2019-10-10,Atlas Vasastan,84951,7775000,4.0,103.0,3822.0,0.0,1929.0,8750000.0
22,2019-10-10,,80247,5995000,3.0,81.0,2240.0,0.0,1963.0,6500000.0
23,2019-10-10,Östermalm,110526,3795000,1.5,38.0,1787.0,0.0,4800.0,4200000.0
24,2019-10-10,Kungsholmen,87955,3250000,2.0,44.0,1636.0,0.0,1933.0,3870000.0
25,2019-10-10,ödermalm - Tanto,79167,2850000,1.5,36.0,1435.0,0.0,5300.0,2850000.0
26,2019-10-10,"Andel i bostadsförening -

    Östermalm",123696,13900000,4.0,115.0,4847.0,0.0,1897.0,14225000.0
27,,Kungsholmen,87353,3100000,1.5,34.0,1433.0,0.0,6684.0,2970000.0
28,,Vasastan,82051,6475000,2.5,78.0,2069.0,0.0,1882.0,6400000.0
29,,Östermalm,85556,7495000,3.0,90.0,3314.0,0.0,1889.0,7700000.0
30,,"Kungsholmen, Fredhäll",76471,3195000,2.0,42.5,2313.0,0.0,1933.0,3250000.0
31,,Kungsholmen,93846,2095000,1.0,26.0,1928.0,0.0,5400.0,2440000.0
32,,Kungsholmen - Norr Mälarstrand,90833,4675000,3.0,60.0,3527.0,0.0,1929.0,5450000.0
33,,Kungsholmen Nedre,90000,5250000,3.0,64.0,3269.0,0.0,1882.0,5760000.0
34,,Kungsholmen,95893,2195000,1.0,28.0,2189.0,0.0,1934.0,2685000.0
35,,Östermalm,112000,5250000,2.0,50.0,2064.0,0.0,1897.0,5600000.0
36,,Karlaplan,111250,3195000,1.5,32.0,1706.0,0.0,1930.0,3560000.0
37,,Kungsholmen/Fredhäll,81579,2750000,2.0,38.0,2025.0,0.0,1931.0,3100000.0
38,,ödermalm / Hornstull,92857,2250000,1.5,28.0,2300.0,0.0,1929.0,2600000.0
39,,Katarina/Sofia,101316,2995000,2.0,38.0,2182.0,0.0,1938.0,3850000.0
40,,Östermalm,108333,4250000,2.0,42.0,1664.0,0.0,1902.0,4550000.0
41,,ödermalm - Mariatorget,92778,3340000,1.0,36.0,1097.0,0.0,3600.0,3340000.0
42,,Vasastan - City/Norrmalm,103968,5695000,2.0,63.0,3922.0,0.0,1943.0,6550000.0
43,,ödermalm,110976,3500000,1.5,41.0,2112.0,0.0,3660.0,4550000.0
44,,Kungsholmen,81272,11395000,4.0,141.5,5775.0,0.0,7000.0,11500000.0
45,,Vasastan,80117,6495000,3.0,85.5,4458.0,0.0,1967.0,6850000.0
47,,"Andel i bostadsförening -

    Kungsholmen",86627,7250000,3.5,91.6,3381.0,0.0,8100.0,7935000.0
48,,Vasastan - S:t Eriksplan,86207,4495000,2.0,58.0,2299.0,0.0,1927.0,5000000.0
49,,Hornstull,100000,2495000,2.0,28.0,2324.0,0.0,1929.0,2800000.0
50,,Kungsholmen/Hornsberg Strand,72893,5795000,3.0,79.5,3975.0,0.0,2015.0,5795000.0
51,,Östermalm,80556,6000000,2.0,72.0,2439.0,0.0,1934.0,5800000.0
52,,Östermalm,71959,5575000,2.0,74.0,962.0,0.0,1955.0,5325000.0
53,,Vasastan - Röda Bergen,74306,4995000,2.5,72.0,3893.0,0.0,1924.0,5350000.0
54,,Kungsholmen,84000,5795000,3.0,75.0,4107.0,0.0,4700.0,6300000.0
55,,Kungsholmen / Kungsholmstorg,82667,5995000,3.0,75.0,3020.0,0.0,1931.0,6200000.0
56,,ödermalm,95556,2695000,1.5,31.5,2246.0,0.0,1990.0,3010000.0
57,,ödermalm,79730,5900000,3.0,74.0,2496.0,0.0,5904.0,5900000.0
58,,ödermalm / Hornstull,88095,3295000,2.0,42.0,3054.0,0.0,1939.0,3700000.0
59,,Kungsholmen Thorildsplan,97681,2995000,2.0,34.5,1850.0,0.0,1926.0,3370000.0
60,,Katarina/Sofia,77206,5195000,3.0,68.0,4394.0,0.0,1932.0,5250000.0
61,,Katarina/Sofia,72222,2995000,2.0,45.0,2143.0,0.0,1971.0,3250000.0
62,,Kungsholmen/City,80000,4595000,3.0,60.0,2697.0,0.0,1932.0,4800000.0
63,,Katarina/Sofia,69153,3995000,2.0,59.0,3590.0,0.0,1927.0,4080000.0
64,,Kungsholmen - Kristinebergs Strand,88060,5900000,3.0,67.0,4873.0,0.0,1997.0,5900000.0
65,,Östermalm,116522,4975000,2.0,46.0,2265.0,0.0,1896.0,5360000.0
66,,Kungsholmen - Norr Mälarstrand,96825,5650000,2.0,63.0,1507.0,0.0,1912.0,6100000.0
67,,ödermalm - Högalid,100300,3995000,2.0,50.0,3057.0,0.0,2016.0,5015000.0
68,,Kungsholmen,83951,5995000,3.0,81.0,3021.0,0.0,1967.0,6800000.0
69,,Kungsholmen,96053,3250000,1.0,38.0,1317.0,0.0,1914.0,3650000.0
70,,Kungsholmen - Rådhuset,89737,3195000,2.0,38.0,2996.0,0.0,1934.0,3410000.0
