,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
267,2019-10-12,Kungsholmen,91974,3195000,1.5,38.0,1223,6100,1927,3495000
236,2019-10-12,Kungsholmen,91974,3195000,1.5,38.0,1223,6100,1927,3495000
238,2019-10-11,Kungsholmen,74000,3395000,2.0,47.5,3304,4800,1937,3515000
269,2019-10-11,Kungsholmen,74000,3395000,2.0,47.5,3304,4800,1937,3515000
281,2019-10-11,Östermalm,138889,13900000,4.0,99.0,4131,12000,1929,13750000
280,2019-10-11,Kungsholmen,70588,4150000,2.0,59.5,2506,5000,2009,4200000
279,2019-10-11,Kungsholmen,115903,8495000,3.0,72.0,5235,5900,1934,8345000
278,2019-10-11,Östermalm,129167,2695000,1.0,24.0,1128,2400,1884,3100000
277,2019-10-11,Södermalm,95778,3495000,2.0,45.0,1637,6000,1977,4310000
276,2019-10-11,Kungsholmen,76042,3250000,2.0,48.0,3860,4200,1938,3650000
275,2019-10-11,Östermalm,99583,11950000,5.0,120.0,6573,6600,1937,11950000
274,2019-10-11,Kungsholmen,107843,3295000,2.0,35.7,1419,7200,1926,3850000
273,2019-10-11,Vasastan,86076,6395000,3.0,79.0,3791,6360,1929,6800000
272,2019-10-11,Södermalm,67286,4475000,2.0,70.0,3609,7500,1999,4710000
271,2019-10-11,Norrmalm,70968,8495000,4.0,124.0,6717,10332,1931,8800000
270,2019-10-11,Kungsholmen,67241,5750000,3.0,87.0,3213,2520,1927,5850000
268,2019-10-11,Vasastan,87179,6295000,3.0,78.0,3108,5000,1979,6800000
239,2019-10-11,Kungsholmen,67241,5750000,3.0,87.0,3213,2520,1927,5850000
1,2019-10-11,Vasastan,88655,9495000,5.0,119.0,5134,0,1926,10550000
250,2019-10-11,Östermalm,138889,13900000,4.0,99.0,4131,12000,1929,13750000
249,2019-10-11,Kungsholmen,70588,4150000,2.0,59.5,2506,5000,2009,4200000
248,2019-10-11,Kungsholmen,115903,8495000,3.0,72.0,5235,5900,1934,8345000
247,2019-10-11,Östermalm,129167,2695000,1.0,24.0,1128,2400,1884,3100000
246,2019-10-11,Södermalm,95778,3495000,2.0,45.0,1637,6000,1977,4310000
