,living_space,rent,bi_area,time,nbr_rooms,additional,closing_price,area_gamla_stan,area_gardet,area_kungsholmen,area_lilla_essingen,area_ostermalm,area_sodermalm,area_stora_essingen,area_vasastan
0,40.0,1160.0,0.0,1.0,1.0,9500.0,4100000,0,0,0,0,0,1,0,0
1,22.0,1581.0,0.0,1.0,1.0,2800.0,2375000,0,0,1,0,0,0,0,0
2,50.0,550.0,0.0,0.9996084573218481,2.0,3600.0,5425000,0,0,0,0,0,0,0,1
3,27.0,790.0,0.0,0.9996084573218481,1.0,4164.0,2800000,0,0,1,0,0,0,0,0
4,84.0,3689.0,0.0,0.9996084573218481,3.0,5500.0,5225000,0,0,0,1,0,0,0,0
5,68.0,2536.0,0.0,0.9996084573218481,3.0,0.0,6070000,0,1,0,0,0,0,0,0
6,68.0,3003.0,54.0,0.9996084573218481,2.5,14800.0,8110000,0,1,0,0,0,0,0,0
7,56.0,2442.0,0.0,0.9996084573218481,2.0,10444.0,5300000,0,0,0,0,0,1,0,0
8,86.0,2930.0,0.0,0.9996084573218481,3.0,0.0,8850000,0,0,0,0,1,0,0,0
9,88.0,4875.0,0.0,0.9996084573218481,4.0,6860.0,6795000,0,0,0,0,0,0,0,1
10,39.0,1827.0,0.0,0.9996084573218481,2.0,2900.0,3450000,0,0,1,0,0,0,0,0
11,334.0,10755.0,0.0,0.9992169146436961,9.0,6000.0,51000000,0,0,0,0,1,0,0,0
12,71.0,4041.0,0.0,0.9992169146436961,3.0,5900.0,6050000,0,0,0,0,0,0,0,1
13,25.0,1151.0,0.0,0.9992169146436961,1.0,6550.0,2950000,0,1,0,0,0,0,0,0
14,33.0,1831.0,0.0,0.9992169146436961,1.0,7069.0,2825000,0,1,0,0,0,0,0,0
15,119.5,7649.0,0.0,0.9992169146436961,4.0,0.0,13650000,0,1,0,0,0,0,0,0
16,129.0,6582.0,0.0,0.9992169146436961,5.0,0.0,13400000,0,0,0,0,0,0,0,1
17,27.0,1212.0,0.0,0.9992169146436961,1.0,3700.0,3000000,0,0,0,0,0,0,0,1
18,63.0,2905.0,0.0,0.9988253719655442,2.0,7188.0,5650000,0,0,0,0,0,1,0,0
19,29.0,1884.0,0.0,0.9988253719655442,1.0,5564.0,2710000,0,0,1,0,0,0,0,0
20,76.0,3193.0,0.0,0.9988253719655442,3.0,4000.0,7900000,0,0,1,0,0,0,0,0
21,42.5,2244.0,0.0,0.9988253719655442,2.0,0.0,3700000,0,0,1,0,0,0,0,0
22,23.3,1093.0,0.0,0.9988253719655442,1.0,6236.0,2900000,0,1,0,0,0,0,0,0
23,30.0,1625.0,0.0,0.9988253719655442,1.0,0.0,2800000,0,1,0,0,0,0,0,0
24,98.0,5450.0,0.0,0.9988253719655442,3.0,6000.0,7600000,0,0,0,0,1,0,0,0
25,36.0,1761.0,0.0,0.9988253719655442,2.0,4560.0,3650000,0,1,0,0,0,0,0,0
26,69.0,3234.0,0.0,0.9988253719655442,2.0,0.0,6200000,0,1,0,0,0,0,0,0
27,94.0,4526.0,0.0,0.9988253719655442,3.0,7200.0,8195000,0,1,0,0,0,0,0,0
28,44.0,2533.0,0.0,0.9988253719655442,2.0,1800.0,3305000,0,0,1,0,0,0,0,0
29,46.0,2098.0,0.0,0.9988253719655442,2.0,7200.0,4060000,0,1,0,0,0,0,0,0
30,49.0,2244.0,0.0,0.9988253719655442,2.0,1020.0,3500000,0,0,1,0,0,0,0,0
31,62.0,2211.0,0.0,0.9988253719655442,2.0,5208.0,6300000,0,0,0,0,0,0,0,1
32,28.0,1395.0,0.0,0.9988253719655442,1.0,3700.0,2700000,0,0,0,0,0,0,0,1
33,33.0,1795.0,0.0,0.9988253719655442,1.0,3480.0,3420000,0,0,0,0,0,0,0,1
34,68.0,2498.0,0.0,0.9988253719655442,2.0,4800.0,6550000,0,0,0,0,0,0,0,1
35,35.0,2486.0,0.0,0.9984338292873923,1.0,3620.0,3010000,0,0,0,1,0,0,0,0
36,98.0,3984.0,0.0,0.9984338292873923,4.0,9204.0,7400000,0,0,1,0,0,0,0,0
37,71.0,2595.0,0.0,0.9984338292873923,3.0,0.0,6300000,0,1,0,0,0,0,0,0
38,54.0,3230.0,0.0,0.9984338292873923,2.0,4860.0,4200000,0,0,0,0,0,0,0,1
39,51.0,3518.0,0.0,0.9980422866092404,2.0,3600.0,5000000,0,0,0,0,0,1,0,0
40,66.5,3313.0,0.0,0.9980422866092404,2.0,7824.0,4630000,0,0,1,0,0,0,0,0
41,19.0,2128.0,0.0,0.9980422866092404,1.0,0.0,2200000,0,0,0,0,0,1,0,0
42,81.3,2482.0,0.0,0.9980422866092404,4.0,6662.0,6500000,0,0,0,0,1,0,0,0
43,43.0,1673.0,0.0,0.9980422866092404,2.0,0.0,4505000,0,0,0,0,1,0,0,0
44,40.0,1905.0,0.0,0.9980422866092404,1.0,3900.0,3500000,0,0,0,0,0,1,0,0
45,32.0,2925.0,0.0,0.9980422866092404,1.0,6000.0,3430000,1,0,0,0,0,0,0,0
46,34.0,944.0,0.0,0.9976507439310884,1.0,3956.0,3000000,0,0,0,0,0,1,0,0
47,63.0,2027.0,0.0,0.9976507439310884,2.0,0.0,7000000,0,0,0,0,1,0,0,0
48,62.0,3004.0,0.0,0.9972592012529365,2.0,0.0,4525000,0,0,0,0,0,0,0,1
49,54.0,1659.0,0.0,0.9972592012529365,2.0,0.0,3910000,0,0,0,0,0,1,0,0
50,47.0,2559.0,0.0,0.9972592012529365,2.0,5400.0,5100000,0,0,0,0,1,0,0,0
51,58.0,3330.0,0.0,0.9972592012529365,2.5,4500.0,4125000,0,0,0,0,0,0,1,0
52,84.0,4172.0,0.0,0.9972592012529365,3.0,6500.0,6000000,0,0,0,0,0,0,0,1
