,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-sofo-stockholms-kommun-kocksgatan-22-a,-3-tr-og-1123531",21 december 2019,"Södermalm- Sofo,
  Stockholms kommu",102500,3495000,1,40,1160,9500,1889,4100000,
1,https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-asogatan-128-1123393,20 december 2019,"Katarina,
  Stockholms kommu",94643,5300000,2,56,2442,10444,1904,5300000,
2,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-hallandsgatan-26-1122396,18 december 2019,"Södermalm,
  Stockholms kommu",89683,4800000,2,63,2905,7188,1929,5650000,
3,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-grindsgatan-52,-3-tr-1121658",16 december 2019,"Södermalm,
  Stockholms kommu",87500,2895000,1,40,1905,3900,1973,3500000,
4,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-ostgotagatan-34-1121932,16 december 2019,"Södermalm,
  Stockholms kommu",98039,5000000,2,51,3518,3600,1909,5000000,
5,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-tjarhovsgatan-22,-4-tr-1121607",16 december 2019,"Södermalm,
  Stockholms kommu",115789,2200000,1,19,2128,,1940,2200000,
6,https://www.hemnet.se/salda/lagenhet-1rum-hogalid-stockholms-kommun-ludvigsbergsgatan-37-1121517,15 december 2019,"Högalid,
  Stockholms kommu",88235,2850000,1,34,944,3956,1963,3000000,
7,https://www.hemnet.se/salda/lagenhet-2rum-katarina-sofia-stockholms-kommun-tjarhovsgatan-50-1121341,14 december 2019,"Katarina/Sofia,
  Stockholms kommu",72407,3250000,2,54,1659,,1883,3910000,
8,https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-brannkyrkagatan-81-1121216,13 december 2019,"Maria,
  Stockholms kommu",88889,3495000,2,45,1548,,1929,4000000,
9,"https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-sofo-stockholms-kommun-bondegatan-74b,-5-tr-1121536",13 december 2019,"Södermalm - Sofo,
  Stockholms kommu",95714,10050000,3,105,5427,11000,1914,10050000,
10,https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-brannkyrkagatan-92-1121076,13 december 2019,"Södermalm,
  Stockholms kommu",103571,2400000,1,28,1946,4680,1936,2900000,
11,"https://www.hemnet.se/salda/lagenhet-1,5rum-sodermalm-stockholms-kommun-folkungagatan-128,-4-tr-1120976",13 december 2019,"Södermalm,
  Stockholms kommu",80000,2995000,1.5,40,1803,3420,1929,3200000,
12,"https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-hornstull-stockholms-kommun-langholmsgatan-21,-5-tr-1120856",13 december 2019,"Södermalm Hornstull,
  Stockholms kommu",76829,6300000,3,82,4019,5051,1966,6300000,
13,https://www.hemnet.se/salda/lagenhet-2rum-hornstull-stockholms-kommun-liljeholmsbron-10-1120738,12 december 2019,"Hornstull,
  Stockholms kommu",63208,3250000,2,53,3435,4680,1938,3350000,
14,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-mariatorget-stockholms-kommun-wollmar-yxkullsgatan-5b,-1tr-1120526",12 december 2019,"Södermalm - Mariatorget,
  Stockholms kommu",100000,4700000,2,47,2926,4992,1929,4700000,
15,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-assessorsgatan-18-c,-2-tr-1120802",12 december 2019,"Södermalm,
  Stockholms kommu",82353,5250000,2,68,2511,,1924,5600000,
16,"https://www.hemnet.se/salda/lagenhet-1rum-maria-stockholms-kommun-brannkyrkagatan-81,-lgh-1003-1120322",11 december 2019,"Maria,
  Stockholms kommu",107692,2395000,1,26,959,,,2800000,
17,https://www.hemnet.se/salda/lagenhet-2rum-hogalid-stockholms-kommun-heleneborgsgatan-30-1120289,11 december 2019,"Högalid,
  Stockholms kommu",75439,3995000,2,57,2796,8269,1927,4300000,
18,https://www.hemnet.se/salda/lagenhet-3rum-sofia-stockholms-kommun-ringvagen-153-1120522,11 december 2019,"Sofia,
  Stockholms kommu",87931,4295000,3,58,2881,,1931,5100000,
19,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-lindvallsplan-10-1120206,11 december 2019,"Södermalm,
  Stockholms kommu",91489,3795000,2,47,2535,3960,1931,4300000,
20,https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-metargatan-5-1120171,11 december 2019,"Södermalm,
  Stockholms kommu",91429,2900000,1,35,2056,5928,1930,3200000,
21,"https://www.hemnet.se/salda/lagenhet-4rum-sofia-stockholms-kommun-vintertullstorget-34,-3tr-1120033",11 december 2019,"Sofia,
  Stockholms kommu",81776,6695000,4,107,6020,7800,1983,8750000,
22,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-wollmar-yxkullsgatan-12,-2-tr,-1120471",11 december 2019,"Södermalm,
  Stockholms kommu",105417,4295000,2,48,1475,11100,1927,5060000,
23,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-asogatan-182,-4-tr-1119982",11 december 2019,"Södermalm,
  Stockholms kommu",110000,2195000,1,25,1334,4200,1943,2750000,
24,https://www.hemnet.se/salda/lagenhet-1rum-hogalid-stockholms-kommun-hornsgatan-94-1119957,10 december 2019,"Högalid,
  Stockholms kommu",78571,3300000,1,42,2381,,1942,3300000,
25,"https://www.hemnet.se/salda/lagenhet-1,5rum-stockholm-sodermalm-stockholms-kommun-tjustgatan-3-1119826",10 december 2019,"Stockholm – Södermalm,
  Stockholms kommu",86081,2800000,1.5,37,2385,3180,1937,3185000,
26,"https://www.hemnet.se/salda/lagenhet-1rum-hogalid-stockholms-kommun-hornsgatan-90,-4tr-1119808",10 december 2019,"Högalid,
  Stockholms kommu",100741,2395000,1,27,565,3960,1928,2720000,
27,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-katarina-stockholms-kommun-folkungagatan-74a,-1-tr-og-1119779",10 december 2019,"Södermalm Katarina,
  Stockholms kommu",91304,3650000,2,46,1968,5000,1913,4200000,
28,https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-olandsgatan-46-1119056,7 december 2019,"Södermalm,
  Stockholms kommu",100000,2295000,1,27,1799,6980,1929,2700000,
29,"https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-stockholms-kommun-gotlandsgatan-67,-1tr-1119022",7 december 2019,"Södermalm,
  Stockholms kommu",84459,5590000,3,74,3480,4200,1926,6250000,
30,https://www.hemnet.se/salda/lagenhet-3rum-katarina-rosenlundshojden-stockholms-kommun-tideliusgrand-5-1118837,6 december 2019,"Katarina - Rosenlundshöjden,
  Stockholms kommu",73663,6275000,3,86,4629,8730,2019,6335000,
