,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-4rum-hagastaden-stockholms-kommun-nina-einhorns-gata-6-1123105,20 december 2019,"Hagastaden,
  Stockholms kommu",77216,6795000,4,88,4875,6860,2017,6795000,
1,https://www.hemnet.se/salda/lagenhet-2rum-birkastan-stockholms-kommun-rorstrandsgatan-2a-1123092,20 december 2019,"kastan,
  Stockholms kommu",108500,4495000,2,50,550,3600,1912,5425000,
2,"https://www.hemnet.se/salda/lagenhet-3rum-hagastaden-stockholms-kommun-nina-einhorns-gata-8,-7tr-1122700",19 december 2019,"Hagastaden,
  Stockholms kommu",85211,6500000,3,71,4041,5900,2018,6050000,
3,https://www.hemnet.se/salda/lagenhet-1rum-birkastan-stockholms-kommun-karlbergsvagen-68-1122549,19 december 2019,"kastan,
  Stockholms kommu",111111,3000000,1,27,1212,3700,1931,3000000,
4,https://www.hemnet.se/salda/lagenhet-5rum-vasastan-stockholms-kommun-dalagatan-38-1122788,19 december 2019,"Vasastan,
  Stockholms kommu",103876,13700000,5,129,6582,,1885,13400000,
5,https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-vanadisvagen-4-1122372,18 december 2019,"Vasastan,
  Stockholms kommu",96429,2595000,1,28,1395,3700,1929,2700000,
6,https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-roslagsgatan-57-1122306,18 december 2019,"Vasastan,
  Stockholms kommu",103636,2995000,1,33,1795,3480,1929,3420000,
7,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-karlbergsvagen-32b-1120628,18 december 2019,"Vasastan,
  Stockholms kommu",96324,5995000,2,68,2498,4800,1889,6550000,
8,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-vastmannagatan-71a,-nb-1122517",18 december 2019,"Vasastan,
  Stockholms kommu",101613,5495000,2,62,2211,5208,1907,6300000,
9,"https://www.hemnet.se/salda/lagenhet-4rum-birkastan-vasastan-stockholms-kommun-norra-stationsgatan-111,-3-tr-1121994",17 december 2019,"kastan/Vasastan,
  Stockholms kommu",69474,6500000,4,95,4298,,,6600000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-hagastaden-stockholms-kommun-nina-einhorns-gata-10,-5-tr-1121937",17 december 2019,"Hagastaden,
  Stockholms kommu",77778,4095000,2,54,3230,4860,2018,4200000,
11,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-kungstensgatan-67-1121850,17 december 2019,"Vasastan,
  Stockholms kommu",113208,4995000,2,53,3051,,,6000000,
12,https://www.hemnet.se/salda/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-observatoriegatan-23-1121756,16 december 2019,"Vasastan - Odenplan,
  Stockholms kommu",75238,7495000,3,105,4019,,,7900000,
13,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-ingemarsgatan-5,-5tr-1121391",14 december 2019,"Vasastan,
  Stockholms kommu",71429,6000000,3,84,4172,6500,1968,6000000,
14,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-tulegatan-46,-4tr-1121351",14 december 2019,"Vasastan,
  Stockholms kommu",72984,4395000,2,62,3004,,1973,4525000,
15,"https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-hagagatan-20,-4tr-1120971",13 december 2019,"Vasastan,
  Stockholms kommu",108710,2650000,1,31,1493,6948,1906,3370000,
16,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-kungstensgatan-46,-4-tr-1121305",13 december 2019,"Vasastan,
  Stockholms kommu",84167,4995000,2,60,1490,7116,1968,5050000,
17,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-dobelnsgatan-18,-2tr-1120639",12 december 2019,"Vasastan,
  Stockholms kommu",88793,4475000,2,58,3780,3600,1891,5150000,
18,https://www.hemnet.se/salda/lagenhet-2rum-hagastaden-stockholms-kommun-torsplan-8-1120590,12 december 2019,"Hagastaden,
  Stockholms kommu",97368,5550000,2,57,3574,,2019,5550000,
19,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-idungatan-5,-2-tr-1120224",12 december 2019,"Vasastan,
  Stockholms kommu",87681,5495000,3,69,3576,7500,1969,6050000,
20,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-vanadisvagen-31b,-3-tr-1120091",11 december 2019,"Vasastan,
  Stockholms kommu",102645,5695000,3,60.5,2836,,1905-1912,6210000,
21,https://www.hemnet.se/salda/lagenhet-4rum-vasastan-stockholms-kommun-vastmannagatan-30-1120058,11 december 2019,"Vasastan,
  Stockholms kommu",87921,6995000,4,89,4186,9564,1889,7825000,
22,"https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-dobelnsgatan-57,-4-tr-1119942",11 december 2019,"Vasastan,
  Stockholms kommu",114000,2750000,1,30,1430,4800,1928,3420000,
23,"https://www.hemnet.se/salda/lagenhet-4,5rum-vasastan-odenplan-stockholms-kommun-radmansgatan-80-a,-2tr,-1119908",10 december 2019,"Vasastan - Odenplan,
  Stockholms kommu",102056,9995000,4.5,107,5568,,1886,10920000,
24,https://www.hemnet.se/salda/lagenhet-3rum-vasastan-norrmalm-stockholms-kommun-birger-jarlsgatan-67-1119837,10 december 2019,"Vasastan/Norrmalm,
  Stockholms kommu",114706,6795000,3,68,2348,7770,1924,7800000,
25,https://www.hemnet.se/salda/lagenhet-1rum-vasastan-stockholms-kommun-atlasgatan-7-1119829,10 december 2019,"Vasastan,
  Stockholms kommu",110370,2895000,1,27,1285,3000,1929,2980000,
26,https://www.hemnet.se/salda/lagenhet-1rum-stockholms-kommun-dobelnsgatan-27-1119809,10 december 2019,Stockholms kommu,104839,2650000,1,31,1329,,1881,3250000,
27,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-dobelnsgatan-42a,-hogst-upp-1119798",10 december 2019,"Vasastan,
  Stockholms kommu",120000,8695000,3,92,3578,15360,1896,11040000,
28,"https://www.hemnet.se/salda/lagenhet-1rum-vasastan-birkastan-stockholms-kommun-tomtebogatan-13b,-bv,-o,g,-1119755",10 december 2019,"Vasastan - Birkastan,
  Stockholms kommu",89868,2495000,1,38,1365,4200,1909,3415000,
29,"https://www.hemnet.se/salda/lagenhet-1rum-vasastan-ostermalm-stockholms-kommun-birger-jarlsgatan-99c,-4tr-1119748",10 december 2019,"Vasastan / Östermalm,
  Stockholms kommu",106176,2995000,1,34,795,4800,1918,3610000,
30,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-norrtullsgatan-25b,-6tr-1119672",10 december 2019,"Vasastan,
  Stockholms kommu",108766,6995000,3,77,3305,7200,1987,8375000,
31,"https://www.hemnet.se/salda/lagenhet-6rum-vasastan-norrmalm-stockholms-kommun-tegnergatan-18,-4-tr-1119604",10 december 2019,"Vasastan/Norrmalm,
  Stockholms kommu",88342,17250000,6,193,6698,16492,1886,17050000,
32,https://www.hemnet.se/salda/lagenhet-3rum-vasastan-birkastan-stockholms-kommun-rorstrandsgatan-25-1119739,10 december 2019,"Vasastan- Birkastan,
  Stockholms kommu",104945,8250000,3,91,2835,,1925,9550000,
33,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-birkastan-stockholms-kommun-tomtebogatan-40,-5tr-1119001",7 december 2019,"Vasastan/Birkastan,
  Stockholms kommu",93966,4975000,2,58,2538,3000,1907,5450000,
34,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-roslagsgatan-40b,-2-tr-1119011",7 december 2019,"Vasastan,
  Stockholms kommu",98015,6250000,2,68,2624,6000,1897,6665000,
35,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-dannemoragatan-18,-3tr,-1118794",6 december 2019,"Vasastan,
  Stockholms kommu",83929,4495000,3,56,2800,,1947,4700000,
36,"https://www.hemnet.se/salda/lagenhet-1,5rum-vasastan-odenplan-stockholms-kommun-radmansgatan-75,-1,5-tr,-1118810",6 december 2019,"Vasastan - Odenplan,
  Stockholms kommu",93056,2795000,1.5,36,1367,,1971,3350000,
37,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-dalagatan-41-a,-bv,-og-1118762",6 december 2019,"Vasastan,
  Stockholms kommu",97778,4195000,2,45,1997,4000,1913,4400000,
38,"https://www.hemnet.se/salda/lagenhet-4rum-vasastan-hagastaden-stockholms-kommun-sonja-kovalevskys-gata-2,-3tr-1118754",6 december 2019,"Vasastan / Hagastaden,
  Stockholms kommu",84759,7750000,4,93.5,4805,7200,2018,7925000,
39,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-gavlegatan-32,-van-5-1119316",5 december 2019,"Vasastan,
  Stockholms kommu",96500,4695000,2,50,2750,400,2017,4825000,
40,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-sankt-eriksgatan-110,-2tr-1118384",5 december 2019,"Vasastan,
  Stockholms kommu",93510,8995000,3,104,2299,,1925,9725000,
41,"https://www.hemnet.se/salda/lagenhet-1,5rum-vasastan-stockholms-kommun-radmansgatan-75,-5tr-1118220",5 december 2019,"Vasastan,
  Stockholms kommu",108333,3275000,1.5,36,1645,2940,1971,3900000,
42,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-halsingegatan-15,-1tr-1118082",5 december 2019,"Vasastan,
  Stockholms kommu",92118,7495000,2,85,2878,6600,1893,7830000,
43,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-volundsgatan-3,-4-tr-1118447",5 december 2019,"Vasastan,
  Stockholms kommu",91667,3750000,2,42,2891,1800,1929,3850000,
44,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-upplandsgatan-34,-3-tr-1118441",5 december 2019,"Vasastan,
  Stockholms kommu",97384,6850000,3,86,3710,2400,1974,8375000,
45,"https://www.hemnet.se/salda/lagenhet-3rum-norrmalm-vasastan-stockholms-kommun-tulegatan-27,-4-tr-1118437",5 december 2019,"Norrmalm/Vasastan,
  Stockholms kommu",130208,9995000,3,96,2312,6420,1891,12500000,
46,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-birkastan-stockholms-kommun-robert-almstromsgatan-10-1117869,4 december 2019,"Vasastan - Birkastan,
  Stockholms kommu",112439,3750000,2,41,1663,,1928,4610000,
47,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-birger-jarlsgatan-111d-1117867,4 december 2019,"Vasastan - Östermalm,
  Stockholms kommu",90351,4495000,2,57,2520,,1906,5150000,
48,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-sibirien-stockholms-kommun-tulegatan-22,-1-tr-1117777",4 december 2019,"Vasastan - Sibirien,
  Stockholms kommu",80000,7250000,3,90,3747,,1931,7200000,
49,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-birkastan-stockholms-kommun-vikingagatan-22-b,-1,5-tr-1117713",4 december 2019,"Vasastan/Birkastan,
  Stockholms kommu",97297,4950000,2,55.5,1894,13700,1904,5400000,
