,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,"https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-lilla-nygatan-11,-2-tr-1122594",16 december 2019,"Gamla Stan,
  Stockholms kommu",107188,3430000,1,32,2925,6000,1680,3430000,
1,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-didrik-ficks-grand-5-1122595,9 december 2019,"Gamla Stan,
  Stockholms kommu",104412,3600000,2,34,1616,9000,1880,3550000,
2,https://www.hemnet.se/salda/lagenhet-2rum-stockholms-kommun-kopmangatan-8-1116060,29 november 2019,Stockholms kommu,100000,4100000,2,40,2567,3600,,4000000,
3,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-kopmangatan-6-1107972,14 november 2019,"Gamla Stan,
  Stockholms kommu",97439,3995000,2,41,2567,,,3995000,
4,"https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-yxsmedsgrand-2,-1-tr-1106648",11 november 2019,"Gamla Stan,
  Stockholms kommu",110000,3300000,1,30,2842,8750,1650,3300000,
5,"https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-yxsmedsgrand-2,-3tr,-1106647",11 november 2019,"Gamla Stan,
  Stockholms kommu",92188,2995000,1,32,2842,14300,1600,2950000,
6,https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-pelikansgrand-2-1097361,22 oktober 2019,"Gamla Stan,
  Stockholms kommu",100000,4200000,1,42,2168,,1600,4200000,
7,"https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-skeppar-karls-grand-6,-3-tr-1094915",18 oktober 2019,"Gamla Stan,
  Stockholms kommu",106400,4795000,2,50,937,12000,1618,5320000,
8,"https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-skottgrand-7,-4-5-tr-1094751",18 oktober 2019,"Gamla Stan,
  Stockholms kommu",89815,4950000,2,54,3967,4000,1623,4850000,5
9,"https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-prastgatan-32,-3-tr-1083818",30 september 2019,"Gamla Stan,
  Stockholms kommu",102632,4050000,1,38,693,10400,1600,3900000,
10,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-osterlanggatan-23-1081757,26 september 2019,"Gamla Stan,
  Stockholms kommu",113265,5200000,3,49,1756,9252,1600,5550000,
11,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-lilla-nygatan-16-1076898,19 september 2019,"Gamla Stan,
  Stockholms kommu",90625,5650000,2,64,1781,18500,1741,5800000,
12,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-helga-lekamens-grand-3-1076614,19 september 2019,"Gamla Stan,
  Stockholms kommu",90000,2995000,2,40,1279,6800,1600,3600000,
13,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-johannesgrand-4-1074481,13 september 2019,"Gamla Stan,
  Stockholms kommu",87246,5995000,3,69,4759,,1650,6020000,
14,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-prastgatan-60-1070899,9 september 2019,"Gamla Stan,
  Stockholms kommu",117021,5500000,3,47,,8400,,5500000,
15,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-kakbrinken-14-1068480,5 september 2019,"Gamla Stan,
  Stockholms kommu",95000,3795000,2,40,2589,7000,,3800000,
16,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-skeppsbron-4-1067020,3 september 2019,"Gamla Stan,
  Stockholms kommu",93136,5495000,2,59,3592,,1650,5495000,
17,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-jarntorget-85-1060499,23 augusti 2019,"Gamla Stan,
  Stockholms kommu",84286,5995000,2,70,1062,10200,1453,5900000,
18,"https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-stora-nygatan-22,-2-tr-1059809",22 augusti 2019,"Gamla Stan,
  Stockholms kommu",112056,5995000,2,53.5,2476,,,5995000,
19,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-kopmangatan-4-1055066,13 augusti 2019,"Gamla Stan,
  Stockholms kommu",99796,4995000,2,49,3151,,1550,4890000,
20,https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-lilla-nygatan-11-1047725,23 juli 2019,"Gamla Stan,
  Stockholms kommu",170588,1895000,1,17,1649,5688,,2900000,7.3
21,"https://www.hemnet.se/salda/lagenhet-2,5rum-gamla-stan-stockholms-kommun-osterlanggatan-8-1031936",17 juni 2019,"Gamla Stan,
  Stockholms kommu",93103,6200000,2.5,58,2426,10212,1635,5400000,
22,https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-lilla-nygatan-11-1016337,22 maj 2019,"Gamla stan,
  Stockholms kommu",120000,2995000,1,30,2742,4200,1643,3600000,
23,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-gasgrand-1-vasterlanggatan-24-999344,5 maj 2019,"Gamla Stan,
  Stockholms kommu",75652,8500000,3,115,1170,14400,1730,8700000,42
24,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-kopmangatan-5-976878,6 april 2019,"Gamla stan,
  Stockholms kommu",90698,7995000,3,86,4734,6700,1600,7800000,
25,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-lilla-nygatan-16-969000,21 mars 2019,"Gamla Stan,
  Stockholms kommu",102128,4800000,2,47,1523,6000,1780,4800000,
26,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-skeppsbron-4-990567,27 februari 2019,"Gamla Stan,
  Stockholms kommu",87500,6100000,3,68,4190,4700,1650,5950000,
27,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-yxsmedsgrand-2-947623,16 februari 2019,"Gamla Stan,
  Stockholms kommu",93750,4795000,2,52,2940,9700,1630-tal,4875000,10
28,"https://www.hemnet.se/salda/lagenhet-1rum-gamla-stan-stockholms-kommun-baggensgatan-27,-2-tr-933364",15 januari 2019,"Gamla Stan,
  Stockholms kommu",84615,3300000,1,39,1266,5688,1336,3300000,4
29,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-lilla-nygatan-16-925533,15 december 2018,"Gamla Stan,
  Stockholms kommu",95238,4200000,2,42,1200,6000,0,4000000,
30,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-kakbrinken-5-924689,13 december 2018,"Gamla Stan,
  Stockholms kommu",101250,3495000,2,40,1217,4000,1600,4050000,
31,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-lilla-nygatan-7-918763,10 december 2018,"Gamla Stan,
  Stockholms kommu",75610,6200000,3,82,2004,,1661,6200000,
32,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-jarntorget-85-921751,8 december 2018,"Gamla Stan,
  Stockholms kommu",96324,6500000,2,68,1447,6000,1453,6550000,7.5
33,"https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-lilla-nygatan-16,-4-4-tr-911925",15 november 2018,"Gamla Stan,
  Stockholms kommu",90161,8700000,3,93,3161,13800,1880,8385000,
34,https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-kindstugatan-6-911023,13 november 2018,"Gamla Stan,
  Stockholms kommu",119565,5550000,3,46,2517,,1600,5500000,
35,"https://www.hemnet.se/salda/lagenhet-3rum-gamla-stan-stockholms-kommun-malartorget-15,-6-7-tr-908756",8 november 2018,"Gamla Stan,
  Stockholms kommu",110000,6600000,3,60,2194,14400,1700,6600000,
36,"https://www.hemnet.se/salda/lagenhet-2,5rum-gamla-stan-stockholms-kommun-kindstugatan-14-903787",27 oktober 2018,"Gamla Stan,
  Stockholms kommu",96205,5550000,2.5,56,3236,,1600 tal,5387500,1
37,https://www.hemnet.se/salda/lagenhet-2rum-gamla-stan-stockholms-kommun-stora-hoparegrand-10a-895363,11 oktober 2018,"Gamla Stan,
  Stockholms kommu",79239,3595000,2,46,1648,7500,1600,3645000,
