,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-3rum-norra-djurgardsstaden-stockholms-kommun-fagelhundsgatan-16-1123762,21 december 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",72826,,3,92,5019,14796,2011,6700000,
1,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-starrangsringen-32,-1-tr-1123277",20 december 2019,"Gärdet,
  Stockholms kommu",89265,5495000,3,68,2536,,1991,6070000,
2,"https://www.hemnet.se/salda/lagenhet-2,5rum-gardet-stockholms-kommun-rindogatan-26,-6-tr-1123243",20 december 2019,"Gärdet,
  Stockholms kommu",119265,7995000,2.5,68,3003,14800,1938,8110000,54
3,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-nedre-gardet-stockholms-kommun-storskarsgatan-4-1122922,19 december 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",118000,2950000,1,25,1151,6550,1934,2950000,
4,"https://www.hemnet.se/salda/lagenhet-1rum-hjorthagen-stockholms-kommun-artemisgatan-13,-3-3-tr,-1122904",19 december 2019,"Hjorthagen,
  Stockholms kommu",85606,2495000,1,33,1831,7069,1953,2825000,
5,"https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-nedre-gardet-stockholms-kommun-melodislingan-14,-5-tr,-van-6-1122658",19 december 2019,"Östermalm/Nedre Gärdet,
  Stockholms kommu",114226,12950000,4,119.5,7649,,2015,13650000,
6,"https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-nedre-gardet-stockholms-kommun-carl-akrells-gata-8,-4tr-1122441",18 december 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",87181,7995000,3,94,4526,7200,2007,8195000,
7,"https://www.hemnet.se/salda/lagenhet-1rum-norra-djurgardsstaden-stockholms-kommun-jaktgatan-33,-2-tr-1122921",18 december 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",93333,2875000,1,30,1625,,2016,2800000,
8,https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-lojtnantsgatan-3-1123871,18 december 2019,"Gärdet,
  Stockholms kommu",89855,6200000,2,69,3234,,2007,6200000,
9,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-gardet-stockholms-kommun-furusundsgatan-12,-3tr-1123261",18 december 2019,"Östermalm Gärdet,
  Stockholms kommu",101389,2990000,2,36,1761,4560,1938,3650000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-ostermalm-stockholms-kommun-erik-dahlbergsgatan-28,-3tr-1122240",18 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",88261,3400000,2,46,2098,7200,1935,4060000,
11,https://www.hemnet.se/salda/lagenhet-1rum-gardet-ostermalm-stockholms-kommun-rindogatan-25-1120076,18 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",124464,2095000,1,23.3,1093,6236,1938,2900000,
12,https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-starrangsringen-7-1122008,17 december 2019,"Gärdet,
  Stockholms kommu",88732,6195000,3,71,2595,,1991,6300000,
13,"https://www.hemnet.se/salda/lagenhet-2rum-nedre-gardet-stockholms-kommun-erik-dahlbergsgatan-29a,-1,5-tr-1121282",13 december 2019,"Nedre Gärdet,
  Stockholms kommu",79787,3750000,2,47,2449,,1936,3750000,
14,https://www.hemnet.se/salda/lagenhet-2rum-norra-djurgardsstaden-stockholms-kommun-jaktgatan-33-1120770,12 december 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",91837,4700000,2,49,2864,,2016,4500000,
15,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-rindogatan-25,-4-tr-1120375",11 december 2019,"Gärdet,
  Stockholms kommu",96000,6495000,3,75,2717,,1938,7200000,
16,https://www.hemnet.se/salda/lagenhet-1rum-gardet-stockholms-kommun-storskarsgatan-3-1119785,10 december 2019,"Gärdet,
  Stockholms kommu",108929,2995000,1,28,1362,4800,1938,3050000,
17,https://www.hemnet.se/salda/lagenhet-1rum-gardet-stockholms-kommun-sandhamnsgatan-57c-1119379,9 december 2019,"Gärdet,
  Stockholms kommu",84848,2800000,1,33,1788,4200,2007,2800000,
18,https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-sandhamnsgatan-13-1119137,8 december 2019,"Gärdet,
  Stockholms kommu",61296,2950000,2,54,3606,,1943,3310000,
19,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-nedre-gardet-stockholms-kommun-sandelsgatan-38-1119176,7 december 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",89344,5250000,3,61,3865,,1934,5450000,
20,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-nedre-gardet-stockholms-kommun-melodislingan-26-1119058,7 december 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",108061,5395000,2,49,4117,,2019,5295000,
21,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-ostermalm-stockholms-kommun-furusundsgatan-15,-6-tr-1119037",7 december 2019,"Gärdet - Östermalm,
  Stockholms kommu",106579,3450000,2,38,2426,4200,1938,4050000,
22,https://www.hemnet.se/salda/lagenhet-1rum-gardet-stockholms-kommun-rindogatan-14-1118757,6 december 2019,"Gärdet,
  Stockholms kommu",93103,2595000,1,29,1973,2200,,2700000,
23,"https://www.hemnet.se/salda/lagenhet-1,5rum-norra-djurgardsstaden-stockholms-kommun-storangsgatan-3,-1-tr-1118680",6 december 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",80000,2495000,1.5,35,2083,,2014,2800000,
24,"https://www.hemnet.se/salda/lagenhet-3rum-norra-djurgardsstaden-stockholms-kommun-slattervallsgatan-13,-5-tr-1118631",6 december 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",78243,5895000,3,74,3543,10356,2014,5790000,
25,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-oregrundsgatan-7,-4-tr-1118166",5 december 2019,"Gärdet,
  Stockholms kommu",74242,4795000,3,66,2544,,1963,4900000,
26,https://www.hemnet.se/salda/lagenhet-3rum-gardet-ostermalm-stockholms-kommun-sandhamnsgatan-59-1118094,5 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",79452,4995000,3,73,3954,4640,1966,5800000,
27,"https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-gardet-stockholms-kommun-vartavagen-33,-2-tr-1118061",5 december 2019,"Östermalm Gärdet,
  Stockholms kommu",113571,2550000,1,28,1167,,1934,3180000,
28,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-sandhamnsgatan-53,-3-tr-1118047",5 december 2019,"Gärdet,
  Stockholms kommu",74000,3495000,2,50,2565,5600,1962,3700000,
29,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-sandhamnsgatan-75d-1117986,5 december 2019,"Östermalm,
  Stockholms kommu",104000,9750000,4,100,5256,,2018,10400000,
30,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-gardet-stockholms-kommun-skeppargatan-96-1117683,4 december 2019,"Östermalm - Gärdet,
  Stockholms kommu",90385,4475000,3,52,2744,,1932,4700000,
31,"https://www.hemnet.se/salda/lagenhet-3,5rum-ostermalm-nedre-gardet-stockholms-kommun-skeppargatan-94-1117866",4 december 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",96552,7950000,3.5,87,2946,,1932,8400000,
32,https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-storskarsgatan-3-1117472,4 december 2019,"Gärdet,
  Stockholms kommu",103226,2995000,2,31,1398,3600,1938,3200000,
33,"https://www.hemnet.se/salda/lagenhet-1rum-gardet-ostermalm-stockholms-kommun-smedsbacksgatan-7,-2tr-1117189",3 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",87778,2895000,1,36,2191,4776,1939,3160000,
34,https://www.hemnet.se/salda/lagenhet-2rum-ekhagen-stockholms-kommun-aminnevagen-17-1117039,3 december 2019,"Ekhagen,
  Stockholms kommu",80645,2150000,2,31,1880,3400,1936,2500000,
35,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-ostermalm-stockholms-kommun-rindogatan-4,-5-tr-1117007",3 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",95345,4795000,3,58,3422,7200,1940,5530000,
36,"https://www.hemnet.se/salda/lagenhet-4rum-nedre-gardet-ostermalm-stockholms-kommun-artillerigatan-74,-3tr-1116979",3 december 2019,"Nedre Gärdet / Östermalm,
  Stockholms kommu",100000,8800000,4,106,3578,,1948,10600000,
37,"https://www.hemnet.se/salda/lagenhet-4rum-gardet-stockholms-kommun-furusundsgatan-16,-8-tr-1117143",3 december 2019,"Gärdet,
  Stockholms kommu",112212,9250000,4,104,3878,2600,1938,11670000,
38,https://www.hemnet.se/salda/lagenhet-1rum-gardet-ostermalm-stockholms-kommun-brantingsgatan-25-1116939,2 december 2019,"Gärdet / Östermalm,
  Stockholms kommu",123810,2095000,1,21,1378,,1939,2600000,
39,"https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-gardet-stockholms-kommun-armfeltsgatan-7,-2tr-1116829",2 december 2019,"Östermalm / Gärdet,
  Stockholms kommu",89686,8750000,5,111.5,4921,6600,1962,10000000,
40,https://www.hemnet.se/salda/lagenhet-5rum-norra-djurgardsstaden-stockholms-kommun-jaktgatan-14-1116261,29 november 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",78740,9750000,5,127,6358,,2013,10000000,
41,https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-smedsbacksgatan-3-a-1116102,29 november 2019,"Gärdet,
  Stockholms kommu",71226,3995000,2,53,3533,4467,1939,3775000,
42,"https://www.hemnet.se/salda/lagenhet-1,5rum-gardet-stockholms-kommun-erik-dahlbergsgatan-29-b,-5-tr-1115766",29 november 2019,"Gärdet,
  Stockholms kommu",106667,3700000,1.5,37.5,2147,2600,1936,4000000,
43,https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-sandhamnsgatan-75-1115144,28 november 2019,"Gärdet,
  Stockholms kommu",82927,3295000,2,41,2791,,2018,3400000,
44,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-vasastan-stockholms-kommun-ruddammsvagen-4a,-5-tr-1115121",28 november 2019,"Östermalm/ Vasastan,
  Stockholms kommu",77692,3795000,2,52,2424,8600,1943,4040000,
45,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-ostermalm-stockholms-kommun-skeppargatan-98,-3tr-1114708",27 november 2019,"Gärdet / Östermalm,
  Stockholms kommu",88182,4495000,3,55,2874,8196,1932,4850000,
46,https://www.hemnet.se/salda/lagenhet-2rum-nedre-gardet-ostermalm-stockholms-kommun-artillerigatan-72b-1114492,27 november 2019,"Nedre Gärdet / Östermalm,
  Stockholms kommu",92157,3695000,2,51,2553,5400,1973,4700000,
47,"https://www.hemnet.se/salda/lagenhet-1,5rum-gardet-ostermalm-stockholms-kommun-smedsbacksgatan-14,-1-tr-1114486",27 november 2019,"Gärdet / Östermalm,
  Stockholms kommu",98529,2895000,1.5,34,2292,4896,1939,3350000,
48,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-ostermalm-stockholms-kommun-smedsbacksgatan-1,-6tr-1114601",27 november 2019,"Gärdet / Östermalm,
  Stockholms kommu",109375,2995000,2,32,2366,,1938,3500000,
49,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-osthammarsgatan-72a,-4-tr-1113956",26 november 2019,"Gärdet,
  Stockholms kommu",92308,4795000,2,52,3005,3800,2019,4800000,
50,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-nedre-gardet-stockholms-kommun-blanchegatan-18-1114319,25 november 2019,"Östermalm / Nedre Gärdet,
  Stockholms kommu",90909,2595000,1,33,1856,,1937,3000000,
51,https://www.hemnet.se/salda/lagenhet-1rum-gardet-stockholms-kommun-rindogatan-26-1113405,25 november 2019,"Gärdet,
  Stockholms kommu",83929,2350000,1,28,1251,3708,1938,2350000,
52,"https://www.hemnet.se/salda/lagenhet-2rum-norra-djurgardsstaden-stockholms-kommun-bobergsgatan-71,-4-tr-1112996",22 november 2019,"Norra Djurgårdsstaden,
  Stockholms kommu",101376,5695000,2,54.5,1971,249,2018,5525000,
