,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-1rum-fredhall-kungsholmen-stockholms-kommun-stagneliusvagen-28-1123485,21 december 2019,"Fredhäll/Kungsholmen,
  Stockholms kommu",107955,1995000,1,22,1581,2800,1937,2375000,
1,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-svarvargatan-3,-2-tr-1123282",20 december 2019,"Kungsholmen/Fridhemsplan,
  Stockholms kommu",88462,3650000,2,39,1827,2900,1933,3450000,
2,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-41,-1-tr-1123154",20 december 2019,"Kungsholmen,
  Stockholms kommu",103704,2800000,1,27,790,4164,1937,2800000,
3,"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-lustgardsgatan-4,-6tr-1123447",20 december 2019,"Kungsholmen,
  Stockholms kommu",69136,,3,81,4016,9000,2012,5600000,
4,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fredhall-stockholms-kommun-runiusgatan-5,-vaning-2-1122485",18 december 2019,"Kungsholmen/Fredhäll,
  Stockholms kommu",71429,3500000,2,49,2244,1020,1931,3500000,
5,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-kristineberg-stockholms-kommun-ola-hanssonsgatan-7,-1-tr-1122392",18 december 2019,"Kungsholmen Kristineberg,
  Stockholms kommu",93448,2350000,1,29,1884,5564,1934,2710000,
6,"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-polhemsgatan-5,-4-tr-1122573",18 december 2019,"Kungsholmen,
  Stockholms kommu",103947,7300000,3,76,3193,4000,1931,7900000,
7,https://www.hemnet.se/salda/lagenhet-2rum-fredhall-stockholms-kommun-vitalisvagen-7-1122366,18 december 2019,"Fredhäll,
  Stockholms kommu",87059,3295000,2,42.5,2244,,1933,3700000,
8,https://www.hemnet.se/salda/lagenhet-2rum-kristineberg-stockholms-kommun-ola-hanssonsgatan-7-1122321,18 december 2019,"Kristineberg,
  Stockholms kommu",75114,3200000,2,44,2533,1800,1934,3305000,
9,"https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-harry-martinsons-gata-12,-3tr-1122006",17 december 2019,"Kungsholmen,
  Stockholms kommu",75510,7995000,4,98,3984,9204,2010,7400000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fredhall-stockholms-kommun-ernst-ahlgrens-vag-10,-3tr-1121577",16 december 2019,"Kungsholmen - Fredhäll,
  Stockholms kommu",69624,4700000,2,66.5,3313,7824,1931,4630000,
11,"https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-hornsbergs-strand-stockholms-kommun-franzengatan-82,-1-tr-1121527",15 december 2019,"Kungsholmen/Hornsbergs Strand,
  Stockholms kommu",66319,7250000,4,108,5887,6600,,7162500,
12,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-karlsviksgatan-16,-3tr-1121092",13 december 2019,"Kungsholmen,
  Stockholms kommu",85263,3995000,2,57,1380,6000,1912,4860000,
13,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsholms-strand-143,-5-tr-1120972",13 december 2019,"Kungsholmen,
  Stockholms kommu",93860,4500000,2,57,2427,4440,1934,5350000,
14,https://www.hemnet.se/salda/lagenhet-2rum-fredhall-stockholms-kommun-frodingsvagen-4-1120919,13 december 2019,"Fredhäll,
  Stockholms kommu",86029,2575000,2,34,1776,,1931,2925000,
15,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-igeldammsgatan-14,-4tr-1120855",12 december 2019,"Kungsholmen,
  Stockholms kommu",107353,3650000,1,34,1883,4632,1929,3650000,
16,https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-mariebergsgatan-1-1120585,12 december 2019,"Kungsholmen / Fridhemsplan,
  Stockholms kommu",80952,4195000,2,52.5,2557,2700,2012,4250000,
17,"https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-warfvinges-vag-18,-6tr-1120493",12 december 2019,"Kungsholmen,
  Stockholms kommu",73295,6450000,4,88,4981,,2015,6450000,
18,https://www.hemnet.se/salda/lagenhet-1rum-nedre-kungsholmen-stockholms-kommun-skillinggrand-9-1120490,12 december 2019,"Nedre Kungsholmen,
  Stockholms kommu",101471,2995000,1,34,1403,5160,1927,3450000,
