,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-stralgatan-29,-2tr-1123122",20 december 2019,"Lilla Essingen,
  Stockholms kommu",62202,4995000,3,84,3689,5500,1939,5225000,
1,https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1121982,17 december 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",86000,2495000,1,35,2486,3620,1939,3010000,
2,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8-1121010,13 december 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",84286,2495000,2,35,2439,6616,1940,2950000,
3,"https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-lilla-essingen-stockholms-kommun-luxgatan-9-1120219",11 december 2019,"Kungsholmen/Lilla Essingen,
  Stockholms kommu",94737,2995000,1.5,38,1717,,,3600000,
4,https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-disponentgatan-2-1120162,11 december 2019,"Kungsholmen/Lilla Essingen,
  Stockholms kommu",93000,1995000,1,25,1229,4200,1937,2325000,
5,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-39-1118884,6 december 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",85484,2295000,2,31,2751,4000,,2650000,
6,"https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-11,-van-1-ej-balkong-1117929",2 december 2019,"Lilla Essingen/Kungsholmen,
  Stockholms kommu",88889,2495000,1,31.5,1623,,1936,2800000,
7,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-86-1115401,28 november 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",72095,3295000,2,52.5,3043,4860,2003,3785000,
8,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-20,-1-tr-1114752",27 november 2019,"Lilla Essingen,
  Stockholms kommu",75625,2650000,2,40,2269,3900,,3025000,
9,https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-stockholms-kommun-essinge-brogata-19-1114626,27 november 2019,"Lilla Essingen,
  Stockholms kommu",83654,1895000,1,26,1516,,1938,2175000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-74,-3tr-1113860",26 november 2019,"Lilla Essingen,
  Stockholms kommu",68613,4695000,2,68.5,4121,6700,2004,4700000,
11,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-71,-4-tr-1112368",22 november 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",75960,3295000,2,49.5,3350,4860,2004,3760000,
12,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-25,-3-tr-1112171",22 november 2019,"Lilla Essingen,
  Stockholms kommu",69153,4150000,2,62,3727,,2007,4287500,
13,"https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-lilla-essingen-stockholms-kommun-essinge-brogata-12-1112112",21 november 2019,"Kungsholmen - Lilla Essingen,
  Stockholms kommu",78261,2295000,1.5,34.5,2162,3900,1931,2700000,
14,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-essinge-brogata-12,-5tr-1111868",21 november 2019,"Lilla Essingen,
  Stockholms kommu",64238,4750000,3,75.5,4828,7200,1931,4850000,
15,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-luxgatan-5,-vindsvaning-1111055",20 november 2019,"Lilla Essingen,
  Stockholms kommu",72541,8750000,3,122,7420,16900,1936,8850000,10
16,https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-23-1109802,16 november 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",63253,4995000,3,83,4276,4200,,5250000,
17,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-82-1109118,14 november 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",72871,3495000,2,50.5,3330,3900,2004,3680000,
18,"https://www.hemnet.se/salda/lagenhet-4rum-essingeoarna-stockholms-kommun-primusgatan-81,-6-tr-1107567",13 november 2019,"Essingeöarna,
  Stockholms kommu",80417,6995000,4,96,4793,4500,2004,7720000,
19,https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-essingeoarna-stockholms-kommun-essinge-brogata-3-1107514,13 november 2019,"Kungsholmen/Essingeöarna,
  Stockholms kommu",75814,2795000,2,43,2507,4400,1938,3260000,
20,"https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-stockholms-kommun-primusgatan-69,-5tr-1107024",12 november 2019,"Lilla Essingen,
  Stockholms kommu",79444,6695000,4,90,5387,,2004,7150000,
21,https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22-1104902,7 november 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",91667,1795000,1,24,1777,7264,1939,2200000,
22,"https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-19-1105101",6 november 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",86563,2395000,1.5,32,1984,,1938,2770000,
23,https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-10-1105084,6 november 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",89855,5950000,3,69,3717,4000,1938,6200000,
24,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-15-1103801,5 november 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",64904,2895000,2,52,2596,5160,1939,3375000,
25,https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-disponentgatan-6-1102652,31 oktober 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",75735,4495000,3,68,3810,,1932,5150000,
26,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-27-1101787,31 oktober 2019,"Lilla Essingen,
  Stockholms kommu",78617,3695000,2,47,3080,4389,2007,3695000,
27,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-15,-van-6-6-1100854",30 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",80189,3495000,2,53,2645,4000,1939,4250000,
28,"https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-33,-van-3-3-1098543",25 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",75893,3795000,2.5,56,3395,5900,1939,4250000,
29,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1097719,24 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",84231,2895000,2,39,2735,4860,1939,3285000,
30,https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-53-1096782,23 oktober 2019,"Lilla Essingen,
  Stockholms kommu",54098,4850000,3,91.5,4765,,2005,4950000,
31,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-82,-6tr-1093951",17 oktober 2019,"Lilla Essingen,
  Stockholms kommu",86391,7495000,3,84.5,4828,8000,2004,7300000,
32,"https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-6-1093258",16 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",85897,2595000,1.5,39,1650,3700,1930,3350000,
33,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8-1090949,11 oktober 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",60000,2995000,2,45,3136,4200,1938,2700000,
34,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-19,-3tr-1087876",7 oktober 2019,"Lilla Essingen,
  Stockholms kommu",72650,3900000,2,58.5,3337,7000,2007,4250000,
35,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-78-1086851,4 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",81522,3295000,2,46,3076,4860,2004,3750000,
36,"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-lilla-essingen-stockholms-kommun-disponentgatan-6,-3tr-1085928",3 oktober 2019,"Kungsholmen Lilla Essingen,
  Stockholms kommu",66250,4995000,3,80,4479,,1932,5300000,
37,https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1084664,1 oktober 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",96429,2295000,1,28,2051,6236,1939,2700000,
38,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-62,-4tr-1083774",30 september 2019,"Lilla Essingen,
  Stockholms kommu",68841,4750000,3,69,4507,6100,2006,4750000,
39,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-20-1080846,25 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",53707,2795000,2,58,3290,4860,1939,3115000,
40,"https://www.hemnet.se/salda/lagenhet-2rum-stockholms-kommun-luxgatan-23,-2tr-1080523",24 september 2019,Stockholms kommu,70088,3995000,2,57,3285,4200,2006,3995000,
41,https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-23-1080200,24 september 2019,"Kungsholmen / Lilla Essingen,
  Stockholms kommu",85938,2495000,1,32,2300,,1939,2750000,
42,https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-27-1077556,20 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",65972,4495000,3,72,4183,5900,2007,4750000,
43,"https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-8-1077549",20 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",73718,2495000,1.5,39,1852,6000,1931,2875000,
44,https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-10-1077630,20 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",58333,5995000,4,120,5993,5360,1932,7000000,
45,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22-1076904,19 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",88710,2250000,2,31,2288,5960,1939,2750000,
46,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-27-1079627,18 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",73171,2650000,2,41,2482,7501,1938,3000000,
47,"https://www.hemnet.se/salda/lagenhet-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-15-1078848",18 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",78611,2495000,1.5,36,1797,3900,1939,2830000,
48,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-23,-6tr-1073911",13 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",69540,5895000,3,87,4488,5267,2005,6050000,
49,"https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-10,-2tr-1073259",12 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",80862,2095000,1,29,2148,2800,1932,2345000,
50,"https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-kungsholmen-stockholms-kommun-disponentgatan-1-1073166",12 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",77586,4500000,2.5,58,3626,,1935,4500000,
51,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-luxgatan-21,-3tr-1072831",12 september 2019,"Lilla Essingen,
  Stockholms kommu",69231,3995000,2,58.5,3337,7600,2006,4050000,
52,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-5-1072450,11 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",98750,2495000,2,32,2087,,1938,3160000,
53,https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-essingeoarna-stockholms-kommun-disponentgatan-4-1071696,10 september 2019,"Kungsholmen - Essingeöarna,
  Stockholms kommu",78077,4650000,3,65,3513,7752,1939,5075000,
54,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8-1071476,10 september 2019,"Lilla Essingen - Kungsholmen,
  Stockholms kommu",76316,2595000,2,38,2648,5896,1940,2900000,
55,"https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-74,-5tr-1071203",10 september 2019,"Lilla Essingen,
  Stockholms kommu",68540,4695000,2,68.5,4121,4800,2004,4695000,
56,"https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-54,-van-11-11-1070848",9 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",72414,6500000,3,87,4678,5360,2006,6300000,
57,https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-11-1070269,7 september 2019,"Lilla Essingen \ Kungsholmen,
  Stockholms kommu",80952,2795000,2,42,2234,4860,1936,3400000,
