,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-floragatan-14-1123270,20 december 2019,"Östermalm,
  Stockholms kommu",102907,8750000,3,86,2930,,1888,8850000,
1,https://www.hemnet.se/salda/lagenhet-9rum-ostermalm-stockholms-kommun-eriksbergsgatan-13-1122565,19 december 2019,"Östermalm,
  Stockholms kommu",152695,49000000,9,334,10755,6000,1914,51000000,
2,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-grevgatan-18-1122190,18 december 2019,"Östermalm,
  Stockholms kommu",77551,7600000,3,98,5450,6000,1883,7600000,
3,"https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-vasastan-stockholms-kommun-valhallavagen-4-a,-6-tr-1122136",16 december 2019,"Östermalm / Vasastan,
  Stockholms kommu",79951,6500000,4,81.3,2482,6662,1973,6500000,
4,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-vasastan-stockholms-kommun-surbrunnsgatan-11,-2-tr-1121825",16 december 2019,"Östermalm/Vasastan,
  Stockholms kommu",104767,3995000,2,43,1673,,1885-1886,4505000,
5,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-eriksbergsgatan-36-1121636,16 december 2019,"Östermalm,
  Stockholms kommu",111486,16995000,4,148,9279,,,16500000,
6,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-villagatan-9-1121460,15 december 2019,"Östermalm,
  Stockholms kommu",111111,6750000,2,63,2027,,1938,7000000,
7,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-nybergsgatan-3-1121422,14 december 2019,"Östermalm,
  Stockholms kommu",126429,8500000,3,70,,15200,1909-1911,8850000,
8,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-styrmansgatan-51-1121380,14 december 2019,"Östermalm,
  Stockholms kommu",108511,5100000,2,47,2559,5400,1889,5100000,
9,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-linnegatan-100-1120689,12 december 2019,"Östermalm,
  Stockholms kommu",103333,6250000,3,60,2504,11472,1915,6200000,
10,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-valhallavagen-146-f-1120521,12 december 2019,"Östermalm,
  Stockholms kommu",87879,5775000,2,66,2343,,1973,5800000,
11,"https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-grev-turegatan-69,-5-tr-1120638",12 december 2019,"Östermalm,
  Stockholms kommu",154255,14500000,3,94,3842,10000,1883,14500000,
12,"https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-valhallavagen-65,-2-tr-1120273",11 december 2019,"Östermalm,
  Stockholms kommu",80667,5750000,3,75,4271,8180,1934,6050000,
13,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-49,-3-tr-1120202",11 december 2019,"Östermalm,
  Stockholms kommu",102966,5895000,2,59,2735,,1947,6075000,
14,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-karlaplan-19-a,-5-tr-1120144",11 december 2019,"Östermalm,
  Stockholms kommu",95385,6000000,2,65,2167,,1973,6200000,
15,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-styrmansgatan-7a-1120161,11 december 2019,"Östermalm,
  Stockholms kommu",124576,7350000,2,59,1973,,,7350000,
16,https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-skeppargatan-49b-1119967,10 december 2019,"Östermalm,
  Stockholms kommu",116265,19000000,5,166,4608,,1919,19300000,
17,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-lill-jans-plan-3-a-1119803,10 december 2019,"Östermalm,
  Stockholms kommu",140132,8950000,3,76,2859,,1896,10650000,8
18,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-skeppargatan-72-1119764,10 december 2019,"Östermalm,
  Stockholms kommu",73404,7500000,4,94,3538,,1921,6900000,
19,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-nybrogatan-54-1119531,9 december 2019,"Östermalm,
  Stockholms kommu",128333,3595000,2,30,1616,3900,1883,3850000,
20,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grev-turegatan-50,-2-tr,-1119209",9 december 2019,"Östermalm,
  Stockholms kommu",100543,4625000,2,46,1953,5304,1929,4625000,
21,"https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-riddargatan-20,-1,5-tr-1119007",7 december 2019,"Östermalm,
  Stockholms kommu",93038,6995000,3,79,2170,5600,1938,7350000,
22,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-styrmansgatan-23-a,-gardshus-1118865",6 december 2019,"Östermalm,
  Stockholms kommu",102128,4495000,2,47,1898,4500,1891,4800000,
23,"https://www.hemnet.se/salda/lagenhet-1,5rum-ostermalm-vasastan-stockholms-kommun-birger-jarlsgatan-120-a-1118889",6 december 2019,"Östermalm / Vasastan,
  Stockholms kommu",94444,2995000,1.5,36,951,3720,1970,3400000,
24,"https://www.hemnet.se/salda/lagenhet-1,5rum-ostermalm-stockholms-kommun-artillerigatan-33,-5-tr,-1118836",6 december 2019,"Östermalm,
  Stockholms kommu",113158,3995000,1.5,38,1858,10500,1936,4300000,
25,https://www.hemnet.se/salda/lagenhet-1rum-vasastan-ostermalm-stockholms-kommun-birger-jarlsgatan-104l-1119624,6 december 2019,"Vasastan/Östermalm,
  Stockholms kommu",132432,1995000,1,18.5,1499,4285,1929,2450000,
26,"https://www.hemnet.se/salda/lagenhet-3,5rum-ostermalm-stockholms-kommun-kommendorsgatan-20-b-1118986",6 december 2019,"Östermalm,
  Stockholms kommu",95263,8995000,3.5,95,2490,,,9050000,
27,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-grevgatan-18-a-1118606,6 december 2019,"Östermalm,
  Stockholms kommu",100000,7250000,3,71,3721,,,7100000,
28,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-20c,-2-tr-1117932",5 december 2019,"Östermalm,
  Stockholms kommu",114912,5675000,2,57,2343,6000,1884,6550000,
29,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-artillerigatan-40-a,-4tr-1118193",5 december 2019,"Östermalm,
  Stockholms kommu",126667,4995000,2,45,1969,,,5700000,
30,"https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-villastan-stockholms-kommun-floragatan-19,-4-5-tr-1117917",4 december 2019,"Östermalm - Villastan,
  Stockholms kommu",133607,16500000,4,122,5622,6408,1884,16300000,8
31,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-torstenssonsgatan-10a-1117636,4 december 2019,"Östermalm,
  Stockholms kommu",156250,9900000,2,64,2273,,1888,10000000,
32,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-nybergsgatan-5-1117155,3 december 2019,"Östermalm,
  Stockholms kommu",131081,8500000,2,74,,13032,1910,9700000,
33,https://www.hemnet.se/salda/lagenhet-37m2-ostermalm-stockholms-kommun-brahegatan-37-2tr-1117540,3 december 2019,"Östermalm,
  Stockholms kommu",108108,3495000,,37,2178,6864,1880,4000000,
34,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-linnegatan-20-1117489,3 december 2019,"Östermalm,
  Stockholms kommu",110727,3350000,1,28.9,1589,2400,1947,3200000,
35,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-erik-dahlbergsallen-3-1116812,2 december 2019,"Östermalm,
  Stockholms kommu",100424,10750000,3,118,4694,,1914,11850000,
36,"https://www.hemnet.se/salda/lagenhet-3,5rum-ostermalm-stockholms-kommun-nybrogatan-89-1116800",2 december 2019,"Östermalm,
  Stockholms kommu",90426,8450000,3.5,94,3170,13200,1888,8500000,
37,"https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-storgatan-30,-bv-gardshus-1116440",30 november 2019,"Östermalm,
  Stockholms kommu",112833,2950000,1,30,1220,4500,1880,3385000,
38,https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-ostermalmsgatan-100-1116051,29 november 2019,"Östermalm,
  Stockholms kommu",119412,18950000,5,170,4200,,1924,20300000,
39,https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-banergatan-39-1116003,29 november 2019,"Östermalm,
  Stockholms kommu",134426,23000000,5,183,5988,,1923,24600000,
40,https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-nybrogatan-20-1115964,29 november 2019,"Östermalm,
  Stockholms kommu",142857,9900000,3,70,0,,1935,10000000,
