,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-mariaberget-stockholms-kommun-tavastgatan-29b-1178406,30 april 2020,"Södermalm- Mariaberget,
  Stockholms kommu",91518,,2,56,2535,10800,,5125000,
1,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-maria-stockholms-kommun-tideliusgatan-57,-5-5-tr-1175415",24 april 2020,"Södermalm- Maria,
  Stockholms kommu",66462,3995000,2,65,2968,,1968,4320000,
2,https://www.hemnet.se/salda/lagenhet-2rum-maria-gamla-stan-hogalid-stockholms-kommun-brannkyrkagatan-44-1173756,22 april 2020,"Maria/Gamla Stan/Högalid,
  Stockholms kommu",83594,5250000,2,64,3000,,1929,5350000,
3,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-maria-magdalena-stockholms-kommun-wollmar-yxkullsgatan-14,-2-tr-1171345",17 april 2020,"Södermalm Maria Magdalena,
  Stockholms kommu",84034,4495000,2,59.5,496,,1979,5000000,
4,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-ekehjelmstorget-8-1169221,12 april 2020,"Södermalm,
  Stockholms kommu",88136,4695000,2,59,2083,8116,1984,5200000,
5,"https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-bellmansgatan-19a,-gardshus-1164298",31 mars 2020,"Maria,
  Stockholms kommu",100000,,2,56,2479,4100,1897,5600000,
6,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-katarina-stockholms-kommun-allhelgonagatan-7-1164035,31 mars 2020,"Södermalm - Katarina,
  Stockholms kommu",68966,4200000,2,58,2349,7200,1935,4000000,
7,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-maria-stockholms-kommun-hornsgatan-39b-1162086,26 mars 2020,"Södermalm Maria,
  Stockholms kommu",83333,4495000,2,60,3536,,1909,5000000,
8,"https://www.hemnet.se/salda/lagenhet-2rum-hogalid-stockholms-kommun-brannkyrkagatan-79,-5tr-1160381",22 mars 2020,"Högalid,
  Stockholms kommu",90984,4695000,2,61,1177,9384,1928,5550000,
9,https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-hornsgatan-29-g-1159409,19 mars 2020,"Maria,
  Stockholms kommu",99603,5595000,2,63,1515,5803,1899,6275000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-moregatan-6,-2tr-1159020",19 mars 2020,"Katarina,
  Stockholms kommu",88793,4250000,2,58,3455,4200,1936,5150000,
11,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-mariaberget-stockholms-kommun-ekehjelmstorget-8,-2-tr-1158532",18 mars 2020,"Södermalm- Mariaberget,
  Stockholms kommu",84746,4495000,2,59,2083,4200,1984,5000000,
12,"https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-hornsgatan-39-b,-2-tr-1158128",17 mars 2020,"Maria,
  Stockholms kommu",94828,5500000,2,58,3688,5991,1909,5500000,
13,"https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-hornsgatan-70,-vind-mot-gard-1156903",13 mars 2020,"Maria,
  Stockholms kommu",107273,5450000,2,55,3218,2300,1907,5900000,5
14,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-fatburs-kvarngata-17-1156435,13 mars 2020,"Södermalm,
  Stockholms kommu",69355,4200000,2,62,3769,4000,1991,4300000,
15,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-gotgatan-114,-3-tr-1155840",12 mars 2020,"Södermalm,
  Stockholms kommu",64615,3750000,2,65,2799,6360,1983,4200000,
16,"https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-hornsgatan-39b,-5-tr-1154732",10 mars 2020,"Maria,
  Stockholms kommu",98793,4850000,2,58,3688,4700,1909,5730000,
17,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-rosenlundsgatan-14-1152392,6 mars 2020,"Södermalm,
  Stockholms kommu",79524,4575000,2,63,3354,,1963,5010000,
18,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-blekingegatan-16-1152741,6 mars 2020,"Södermalm,
  Stockholms kommu",80536,3990000,2,56,2667,3600,1971,4510000,
