,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,"https://www.hemnet.se/salda/lagenhet-2,5rum-stora-essingen-stockholms-kommun-essingetorget-46-1121432",14 december 2019,"Stora Essingen,
  Stockholms kommu",71121,3995000,2.5,58,3330,4500,1935,4125000,
1,https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stora-essingen-stockholms-kommun-bergsmarksvagen-10-1121354,13 december 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",71638,3795000,2,58,3014,,1939,4155000,
2,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stora-essingen-stockholms-kommun-vanskapsvagen-42,-van-1-1118265",5 december 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",72619,2495000,2,42,2499,4932,,3050000,
3,"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stora-essingen-stockholms-kommun-essingestraket-38,-1-tr-1117559",3 december 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",94118,4995000,3,68,3772,15948,1942,6400000,
4,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stora-essingen-stockholms-kommun-essingestraket-44,-van-5-1115981",29 november 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",82203,4925000,2,59,3130,3900,1963,4850000,
5,"https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stora-essingen-stockholms-kommun-badstrandsvagen-4-b,-1-tr-1114767",27 november 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",70359,6495000,4,97.5,5774,15792,1998,6860000,
6,https://www.hemnet.se/salda/lagenhet-1rum-stora-essingen-stockholms-kommun-essingestraket-21-1111501,21 november 2019,"Stora Essingen,
  Stockholms kommu",75000,2295000,1,36,1470,,1939,2700000,
7,"https://www.hemnet.se/salda/lagenhet-2,5rum-stora-essingen-kungsholmen-stockholms-kommun-gammelgardsvagen-44,-5tr-1107406",13 november 2019,"Stora Essingen/Kungsholmen,
  Stockholms kommu",75676,4995000,2.5,74,3693,5058,1995,5600000,
8,https://www.hemnet.se/salda/lagenhet-3rum-stora-essingen-stockholms-kommun-skogsmarksvagen-16-1105533,8 november 2019,"Stora Essingen,
  Stockholms kommu",69764,7395000,3,106,5570,,,7395000,
9,https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-essingeoarna-stockholms-kommun-essingestraket-21-1104189,5 november 2019,"Kungsholmen/Essingeöarna,
  Stockholms kommu",75000,2595000,2,38,1596,5760,1938,2850000,
10,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stora-essingen-stockholms-kommun-vanskapsvagen-53,-2-tr-1104089",31 oktober 2019,"Kungsholmen - Stora Essingen,
  Stockholms kommu",74000,2995000,2,50,3395,9000,1944,3700000,
11,"https://www.hemnet.se/salda/lagenhet-2rum-stora-essingen-stockholms-kommun-vanskapsvagen-49,-bv-soutterang-1101595",31 oktober 2019,"Stora Essingen,
  Stockholms kommu",68085,3200000,2,47,3265,9000,1944,3200000,
