,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
0,sodermalm,102500.0,3495000.0,1.0,40.0,1160.0,9500.0,1889.0,4100000,0.0,0.17310443490701002,1.0
1,kungsholmen,107955.0,1995000.0,1.0,22.0,1581.0,2800.0,1937.0,2375000,0.0,0.19047619047619047,1.0
2,vasastan,108500.0,4495000.0,2.0,50.0,550.0,3600.0,1912.0,5425000,0.0,0.20689655172413796,0.9996084573218481
3,kungsholmen,103704.0,2800000.0,1.0,27.0,790.0,4164.0,1937.0,2800000,0.0,0.0,0.9996084573218481
4,lilla_essingen,62202.0,4995000.0,3.0,84.0,3689.0,5500.0,1939.0,5225000,0.0,0.04604604604604605,0.9996084573218481
5,gardet,89265.0,5495000.0,3.0,68.0,2536.0,0.0,1991.0,6070000,0.0,0.10464058234758873,0.9996084573218481
6,gardet,119265.0,7995000.0,2.5,68.0,3003.0,14800.0,1938.0,8110000,54.0,0.01438398999374609,0.9996084573218481
7,sodermalm,94643.0,5300000.0,2.0,56.0,2442.0,10444.0,1904.0,5300000,0.0,0.0,0.9996084573218481
8,ostermalm,102907.0,8750000.0,3.0,86.0,2930.0,0.0,1888.0,8850000,0.0,0.011428571428571429,0.9996084573218481
9,vasastan,77216.0,6795000.0,4.0,88.0,4875.0,6860.0,2017.0,6795000,0.0,0.0,0.9996084573218481
10,kungsholmen,88462.0,3650000.0,2.0,39.0,1827.0,2900.0,1933.0,3450000,0.0,-0.0547945205479452,0.9996084573218481
11,ostermalm,152695.0,49000000.0,9.0,334.0,10755.0,6000.0,1914.0,51000000,0.0,0.040816326530612235,0.9992169146436961
12,vasastan,85211.0,6500000.0,3.0,71.0,4041.0,5900.0,2018.0,6050000,0.0,-0.06923076923076922,0.9992169146436961
13,gardet,118000.0,2950000.0,1.0,25.0,1151.0,6550.0,1934.0,2950000,0.0,0.0,0.9992169146436961
14,gardet,85606.0,2495000.0,1.0,33.0,1831.0,7069.0,1953.0,2825000,0.0,0.13226452905811625,0.9992169146436961
15,gardet,114226.0,12950000.0,4.0,119.5,7649.0,0.0,2015.0,13650000,0.0,0.054054054054054064,0.9992169146436961
16,vasastan,103876.0,13700000.0,5.0,129.0,6582.0,0.0,1885.0,13400000,0.0,-0.021897810218978103,0.9992169146436961
17,vasastan,111111.0,3000000.0,1.0,27.0,1212.0,3700.0,1931.0,3000000,0.0,0.0,0.9992169146436961
18,sodermalm,89683.0,4800000.0,2.0,63.0,2905.0,7188.0,1929.0,5650000,0.0,0.17708333333333334,0.9988253719655442
19,kungsholmen,93448.0,2350000.0,1.0,29.0,1884.0,5564.0,1934.0,2710000,0.0,0.15319148936170213,0.9988253719655442
20,kungsholmen,103947.0,7300000.0,3.0,76.0,3193.0,4000.0,1931.0,7900000,0.0,0.0821917808219178,0.9988253719655442
